Name,Indian rupee
1,1852.8
2,2010.4
3,1974.9
4,1960.9
5,2119.4
6,2248.9
7,2309.7
8,2409.8
9,2865
10,3204
11,3183.5
12,3731.8
1,5358
2,5286.7
3,4511.5
4,4164.4
5,4053.3
6,4711.1
7,5012.4
8,4867
9,5211.1
10,5112.3
11,4833.7
12,4705.2
1,4430
2,4110.2
3,4093.1
4,4107.8
5,4034
6,3968.2
7,3632.1
8,3705
9,4039.1
10,3998.6
11,3766.8
12,3749.3
1,3507
2,3440.4
3,3064.7
4,3274.2
5,3107
6,2970
7,3224.8
8,3468.6
9,4223.6
10,4094
11,4050.1
12,4296.4
1,4734.4
2,4880.2
3,4183.6
4,4309
5,4365
6,4153.3
7,4255.1
8,4230.6
9,4204.6
10,4021.9
11,3949.9
12,4063.4
1,3966.9
2,4129.8
3,4228.2
4,4116.2
5,4139.7
6,4173.9
7,3934.7
8,4003.5
9,4016.6
10,4070.5
11,4105.2
12,3908.7
1,3813.3
2,3869.6
3,3856.6
4,4005.6
5,3917.7
6,3910
7,3800.5
8,3918.4
9,3894
10,3902.6
11,3903.3
12,3871.6
1,4214.4
2,4175.8
3,4210.4
4,4199.6
5,4253.5
6,4294.2
7,4345.9
8,4702.3
9,5263.4
10,5431.1
11,5188.3
12,5107.2
1,5287.4
2,5213.6
3,5249.5
4,5576.8
5,5825.5
6,5759.7
7,5839.1
8,6003.6
9,5946.9
10,6027.9
11,6028.1
12,6263.6
1,6205
2,5745.4
3,5730.3
4,5929.5
5,5971.2
6,6214.3
7,6145.9
8,6127.6
9,5955
10,5945.8
11,6256.7
12,6273
1,6095.1
2,5892.9
3,6010.9
4,6013.3
5,5993.6
6,5996.8
7,6097.1
8,6049.7
9,6019.8
10,6144.9
11,6637
12,6901.5
1,6936.4
2,7062.9
3,6704.4
4,6467.5
5,6373.3
6,6119
7,6299.5
8,6831.9
9,6940.7
10,6878.5
11,6895.4
12,6841.7
1,7032.1
2,6849.6
3,7003.6
4,7145.3
5,7318
6,7699.4
7,9363.9
8,9195.7
9,8994.2
10,9251.2
11,9294.5
12,9315.3
1,9171.7
2,9185.5
3,9707.3
4,9751.6
5,9601.9
6,9684.5
7,10051.6
8,9712.6
9,9788.5
10,9776.5
11,9503.9
12,9655
1,9502.1
2,9852
3,10427.5
4,10723.1
5,11511.3
6,11684
7,12303.7
8,11904.9
9,11171.9
10,11435.8
11,11724.6
12,12038.1
1,12135.5
